country,year,lat,lon,GID_1,GID_2,wealthpooled,households,urban_rural
ethiopia,2016,9.50546987302,42.4386278933,ETH.8,ETH.8.14,-0.722429931163788,27,0
ethiopia,2016,10.7762174829,37.1222700182,ETH.3,ETH.3.6,-0.769103407859802,27,0
ethiopia,2016,11.8452284561,41.9157929221,ETH.2,ETH.2.1,-1.15378797054291,20,0
ethiopia,2016,9.5888325713,41.8657328466,ETH.5,ETH.5.1,1.10541021823883,27,1
ethiopia,2016,9.94293970456,34.6292720416,ETH.4,ETH.4.1,-0.895703852176666,27,0
ethiopia,2016,3.8187915928,39.7653432611,ETH.9,ETH.9.6,-1.12699615955353,27,0
ethiopia,2016,9.34901693095,42.6813317167,ETH.9,ETH.9.3,-0.881629049777985,26,0
ethiopia,2016,10.5709933035,38.7084823107,ETH.3,ETH.3.5,-0.755100548267365,28,0
ethiopia,2016,9.04326034727,38.7146934175,ETH.1,ETH.1.1,1.3369551897049,28,1
ethiopia,2016,6.98133787886,38.5807823139,ETH.10,ETH.10.19,-0.532836496829987,28,0
ethiopia,2016,7.70940156114,34.1004802475,ETH.6,ETH.6.1,-0.90670770406723,27,0
ethiopia,2016,7.83423885855,38.3337717583,ETH.10,ETH.10.20,0.644284129142761,24,1
ethiopia,2016,9.03392549019,38.7689548211,ETH.1,ETH.1.1,1.28255581855774,24,1
ethiopia,2016,9.76564493416,34.7390014466,ETH.4,ETH.4.1,0.415576666593552,24,1
ethiopia,2016,11.120147369,39.6217247628,ETH.3,ETH.3.5,1.04659307003021,27,1
ethiopia,2016,9.00785406503,38.7817378036,ETH.1,ETH.1.1,1.63549292087555,28,1
ethiopia,2016,6.78443103807,37.8007529825,ETH.10,ETH.10.21,-0.784008741378784,28,0
ethiopia,2016,5.72534571145,38.2647675097,ETH.8,ETH.8.3,-0.648302555084229,28,0
ethiopia,2016,8.87629538846,43.262343778,ETH.9,ETH.9.3,-0.768909096717834,26,0
ethiopia,2016,8.84827523101,37.7739230253,ETH.8,ETH.8.12,-0.705391049385071,27,0
ethiopia,2016,11.0742756771,37.790726351,ETH.3,ETH.3.7,-0.759641706943512,25,0
ethiopia,2016,9.60105397294,41.7613104774,ETH.5,ETH.5.1,0.345697671175003,25,1
ethiopia,2016,7.19288407476,39.0256484156,ETH.8,ETH.8.10,-0.80628502368927,27,0
ethiopia,2016,9.60462543665,41.873772823,ETH.5,ETH.5.1,1.03057670593262,24,1
ethiopia,2016,9.31346357211,42.1111871914,ETH.7,ETH.7.1,1.20861887931824,24,1
ethiopia,2016,9.30026423487,42.1184903494,ETH.7,ETH.7.1,1.0063202381134,25,1
ethiopia,2016,9.53648433062,41.8338306474,ETH.5,ETH.5.1,-0.932756006717682,28,0
ethiopia,2016,9.02974760401,38.7193251644,ETH.1,ETH.1.1,0.964851081371307,28,1
ethiopia,2016,6.21712539238,38.252069473,ETH.10,ETH.10.11,-0.322316646575928,27,0
ethiopia,2016,9.19198867393,43.5733986584,ETH.9,ETH.9.3,-0.733899116516113,25,0
ethiopia,2016,6.31907905884,38.968049523,ETH.10,ETH.10.19,-0.879805624485016,28,0
ethiopia,2016,10.6671212517,35.6105437531,ETH.4,ETH.4.3,-0.812682747840881,26,0
ethiopia,2016,10.6435644707,36.1036994074,ETH.4,ETH.4.3,-0.870524942874908,27,0
ethiopia,2016,10.2592046524,40.5583137001,ETH.2,ETH.2.3,-1.08516621589661,26,0
ethiopia,2016,11.2877903516,38.4068856512,ETH.3,ETH.3.4,-1.21090960502625,23,0
ethiopia,2016,9.79869668858,40.3800589247,ETH.2,ETH.2.3,-0.995770633220673,5,0
ethiopia,2016,9.00250758027,39.1315220073,ETH.8,ETH.8.15,-0.534152030944824,28,0
ethiopia,2016,7.42833707964,37.7530530811,ETH.10,ETH.10.13,-0.857410430908203,28,0
ethiopia,2016,9.59445796402,41.8309405955,ETH.5,ETH.5.1,0.646242260932922,23,1
ethiopia,2016,9.30959246743,42.1331668416,ETH.7,ETH.7.1,1.57828795909882,26,1
ethiopia,2016,14.1950634491,39.04028277,ETH.11,ETH.11.2,-0.603935956954956,28,0
ethiopia,2016,7.3965040748,35.260202959,ETH.6,ETH.6.2,-0.627606213092804,24,0
ethiopia,2016,8.24956390026,34.5978392613,ETH.6,ETH.6.1,1.35467863082886,23,1
ethiopia,2016,9.13803330263,40.1596315709,ETH.2,ETH.2.3,0.742711186408997,27,1
ethiopia,2016,5.54695181526,37.6663341535,ETH.10,ETH.10.6,-0.809965372085571,27,0
ethiopia,2016,9.28220145032,40.1857840339,ETH.2,ETH.2.3,-0.403948903083801,26,0
ethiopia,2016,12.5790857678,36.0332738766,ETH.3,ETH.3.10,-0.837995707988739,26,0
ethiopia,2016,6.87674854491,37.7577586058,ETH.10,ETH.10.21,0.92152863740921,27,1
ethiopia,2016,8.09185152616,38.528855754,ETH.10,ETH.10.12,-0.628549814224243,28,0
ethiopia,2016,11.0559617956,40.1986254311,ETH.2,ETH.2.5,-0.943759560585022,17,0
ethiopia,2016,9.31246687048,42.1184916178,ETH.7,ETH.7.1,1.14338779449463,26,1
ethiopia,2016,9.37078775474,42.797420243,ETH.9,ETH.9.3,0.966703772544861,25,1
ethiopia,2016,9.30258440418,42.1253554492,ETH.7,ETH.7.1,1.30752205848694,27,1
ethiopia,2016,9.00172834329,38.7228590451,ETH.1,ETH.1.1,1.67575776576996,25,1
ethiopia,2016,9.32340046646,42.1130098881,ETH.7,ETH.7.1,0.817705988883972,26,1
ethiopia,2016,8.97151195257,38.7618393831,ETH.1,ETH.1.1,1.21027004718781,28,1
ethiopia,2016,8.24635511981,36.6214995576,ETH.8,ETH.8.7,-0.886520385742188,28,0
ethiopia,2016,8.26784335099,34.6014669382,ETH.6,ETH.6.1,1.10995328426361,24,1
ethiopia,2016,9.33596724274,42.7979043322,ETH.9,ETH.9.3,0.903515040874481,25,1
ethiopia,2016,10.0387970194,35.233468673,ETH.4,ETH.4.1,-0.43746280670166,24,0
ethiopia,2016,12.3490508881,38.9616668144,ETH.3,ETH.3.12,-1.10837292671204,27,0
ethiopia,2016,9.28219730811,42.1709588097,ETH.7,ETH.7.1,-0.336236298084259,28,0
ethiopia,2016,8.36491380645,33.9094373664,ETH.6,ETH.6.3,-1.01765024662018,21,0
ethiopia,2016,9.51940107931,35.86346861,ETH.4,ETH.4.2,0.0576336123049259,24,1
ethiopia,2016,8.99452617877,40.164139851,ETH.2,ETH.2.3,0.863921880722046,28,1
ethiopia,2016,11.5858079828,37.388364318,ETH.3,ETH.3.3,0.890324711799622,25,1
ethiopia,2016,9.57507304381,41.8563621501,ETH.5,ETH.5.1,1.10957849025726,26,1
ethiopia,2016,11.3821246084,41.7020944216,ETH.2,ETH.2.1,-1.11254012584686,21,0
ethiopia,2016,7.365744,36.537091,ETH.10,ETH.10.14,-0.95205169916153,22,0
ethiopia,2016,6.55951923144,46.1547965841,ETH.9,ETH.9.2,-0.968390285968781,24,0
ethiopia,2016,14.4215895373,38.0602421476,ETH.11,ETH.11.5,-0.823670625686646,28,0
ethiopia,2016,12.9653685748,39.6971902633,ETH.11,ETH.11.1,0.208447888493538,26,0
ethiopia,2016,13.1594076451,38.0547708319,ETH.3,ETH.3.10,-1.18259131908417,25,0
ethiopia,2016,14.1286670056,38.7335858616,ETH.11,ETH.11.2,1.14048731327057,28,1
ethiopia,2016,3.62139145826,39.291912435,ETH.9,ETH.9.6,-0.835509359836578,24,0
ethiopia,2016,8.86789040766,38.7942796059,ETH.1,ETH.1.1,1.14286410808563,25,1
ethiopia,2016,14.1756014451,38.8916486599,ETH.11,ETH.11.2,1.00161492824554,28,1
ethiopia,2016,5.9718834645,43.5485594187,ETH.9,ETH.9.8,-0.425949811935425,18,0
ethiopia,2016,5.91805816548,37.2914179478,ETH.10,ETH.10.10,-0.836813867092133,28,0
ethiopia,2016,5.48732650555,36.7971310154,ETH.10,ETH.10.8,-0.92571496963501,27,0
ethiopia,2016,9.86313454848,35.6469377082,ETH.4,ETH.4.2,-0.828479588031769,26,0
ethiopia,2016,14.4386339259,39.085800049,ETH.11,ETH.11.2,-0.747880160808563,28,0
ethiopia,2016,9.04499815901,38.8631750538,ETH.1,ETH.1.1,0.875381171703339,22,1
ethiopia,2016,9.0466980287,38.7289013883,ETH.1,ETH.1.1,1.18764972686768,27,1
ethiopia,2016,6.70844941065,44.2735421879,ETH.9,ETH.9.5,-0.446444392204285,16,0
ethiopia,2016,9.33960411321,41.3214150318,ETH.8,ETH.8.14,-0.921895265579224,28,0
ethiopia,2016,13.4945589813,39.4692346379,ETH.11,ETH.11.1,1.28492414951324,22,1
ethiopia,2016,7.59152728414,43.7648907134,ETH.9,ETH.9.4,-0.234618619084358,21,0
ethiopia,2016,12.4206773981,39.5593113544,ETH.11,ETH.11.1,0.420332223176956,25,1
ethiopia,2016,14.1575441713,38.1438520961,ETH.11,ETH.11.5,-0.917796432971954,27,0
ethiopia,2016,13.709599555,39.684280222,ETH.11,ETH.11.4,-0.979535341262817,28,0
ethiopia,2016,9.02563804706,38.7174788645,ETH.1,ETH.1.1,1.34194684028625,28,1
ethiopia,2016,9.62024389962,41.840028943,ETH.5,ETH.5.1,1.05424547195435,21,1
ethiopia,2016,10.1482540243,40.1894142042,ETH.2,ETH.2.5,-0.972739279270172,26,0
ethiopia,2016,14.4227920029,39.7281016112,ETH.11,ETH.11.4,-0.745313167572021,27,0
ethiopia,2016,8.3097688021,33.8051174987,ETH.6,ETH.6.3,-1.03447508811951,28,0
ethiopia,2016,8.24024468444,34.3595625538,ETH.6,ETH.6.1,-0.873032510280609,26,0
ethiopia,2016,8.21190166328,34.4510167359,ETH.6,ETH.6.1,-0.954949080944061,28,0
ethiopia,2016,9.0342302147,38.7184082631,ETH.1,ETH.1.1,1.35512495040894,24,1
ethiopia,2016,9.03217624526,38.7330076853,ETH.1,ETH.1.1,1.25477230548859,27,1
ethiopia,2016,10.9344518141,36.9454959719,ETH.3,ETH.3.1,-0.944615364074707,24,0
ethiopia,2016,8.97756723585,38.7380499348,ETH.1,ETH.1.1,1.34119999408722,24,1
ethiopia,2016,9.5885386144,41.8505427886,ETH.5,ETH.5.1,1.16560125350952,24,1
ethiopia,2016,9.07122987065,38.7521226061,ETH.1,ETH.1.1,1.54926908016205,28,1
ethiopia,2016,7.11291687929,37.3839343099,ETH.10,ETH.10.7,-0.890542089939117,27,0
ethiopia,2016,8.24174565584,34.6051383561,ETH.6,ETH.6.1,0.182968944311142,27,1
ethiopia,2016,9.2902191212,42.1013609291,ETH.7,ETH.7.1,1.39236044883728,20,0
ethiopia,2016,8.82944703631,43.3348947832,ETH.9,ETH.9.4,-0.822207391262054,26,0
ethiopia,2016,14.2310498134,39.7236883667,ETH.2,ETH.2.2,-1.01591777801514,21,0
ethiopia,2016,8.8180576302,37.5344828867,ETH.8,ETH.8.12,-0.296442419290543,27,0
ethiopia,2016,7.64564539938,35.3534863628,ETH.10,ETH.10.18,-0.88666158914566,25,0
ethiopia,2016,10.9845559437,38.044449684,ETH.3,ETH.3.7,-0.924816787242889,28,0
ethiopia,2016,9.17361810831,39.347492797,ETH.3,ETH.3.8,-0.67378181219101,27,0
ethiopia,2016,8.75743666467,40.2994430867,ETH.8,ETH.8.11,-0.932412922382355,28,0
ethiopia,2016,7.88730226891,39.8627264104,ETH.8,ETH.8.1,-0.731488585472107,28,0
ethiopia,2016,9.83761979426,35.4142012912,ETH.4,ETH.4.2,-0.735790491104126,25,0
ethiopia,2016,8.71230737632,39.2969107194,ETH.8,ETH.8.15,-0.582989692687988,27,0
ethiopia,2016,7.13251269575,37.5368303496,ETH.10,ETH.10.21,-0.789412498474121,27,0
ethiopia,2016,13.8358919508,39.8834548989,ETH.2,ETH.2.2,-0.963696360588074,28,0
ethiopia,2016,12.79918126,39.7113616583,ETH.11,ETH.11.1,-0.29665794968605,27,0
ethiopia,2016,13.9254461067,39.4522328236,ETH.11,ETH.11.4,-0.555317223072052,27,0
ethiopia,2016,13.1693084844,39.9871167607,ETH.2,ETH.2.2,-1.07740700244904,24,0
ethiopia,2016,11.7746736445,37.9787671042,ETH.3,ETH.3.4,-1.10862791538239,27,0
ethiopia,2016,9.29031176064,42.1170863512,ETH.7,ETH.7.1,0.844950497150421,22,1
ethiopia,2016,14.1791230071,39.9807494998,ETH.2,ETH.2.2,-0.927110731601715,22,0
ethiopia,2016,10.1794669694,40.5491092301,ETH.2,ETH.2.3,-0.758934855461121,27,0
ethiopia,2016,12.6775343287,39.3486910071,ETH.11,ETH.11.1,-0.830831825733185,27,0
ethiopia,2016,10.6375197357,35.7192058679,ETH.4,ETH.4.3,-0.690625905990601,27,0
ethiopia,2016,5.58926904596,44.1750322919,ETH.9,ETH.9.8,-1.0154013633728,21,0
ethiopia,2016,8.41169821139,38.3660367709,ETH.8,ETH.8.4,-0.875062525272369,28,0
ethiopia,2016,9.62426037501,41.83927556,ETH.5,ETH.5.1,1.29209339618683,26,1
ethiopia,2016,6.76120632433,37.4257951829,ETH.10,ETH.10.21,-0.697998225688934,26,0
ethiopia,2016,8.01647928766,37.5300031853,ETH.8,ETH.8.8,-0.769045114517212,28,0
ethiopia,2016,12.8304245647,39.4518456655,ETH.11,ETH.11.1,-0.837489664554596,27,0
ethiopia,2016,9.06070877257,38.7521225816,ETH.1,ETH.1.1,1.26506674289703,27,1
ethiopia,2016,8.97935886885,38.6830487592,ETH.1,ETH.1.1,1.39832413196564,24,1
ethiopia,2016,6.02345793172,44.8075067953,ETH.9,ETH.9.5,-0.846216320991516,17,0
ethiopia,2016,8.90645974743,38.6266444689,ETH.8,ETH.8.4,1.41852521896362,23,1
ethiopia,2016,6.92016481197,38.3152157767,ETH.10,ETH.10.19,-0.555191338062286,26,0
ethiopia,2016,8.54334611335,39.2660967109,ETH.8,ETH.8.15,1.35029113292694,21,1
ethiopia,2016,10.5124060403,36.1290496527,ETH.4,ETH.4.3,-0.848429679870605,28,0
ethiopia,2016,9.58047195266,41.8573323303,ETH.5,ETH.5.1,1.22217571735382,28,1
ethiopia,2016,12.6946883389,37.8897317477,ETH.3,ETH.3.10,-1.18651461601257,26,0
ethiopia,2016,9.04798893722,38.7661714489,ETH.1,ETH.1.1,1.41694521903992,27,1
ethiopia,2016,7.27733666825,36.237312725,ETH.10,ETH.10.14,0.633955001831055,27,1
ethiopia,2016,9.01440936129,38.8006104973,ETH.1,ETH.1.1,1.29110431671143,26,1
ethiopia,2016,13.8486848083,38.6881087512,ETH.11,ETH.11.2,-1.01299440860748,28,0
ethiopia,2016,9.31485964889,42.1230801121,ETH.7,ETH.7.1,1.11266839504242,25,1
ethiopia,2016,11.793025658,37.5846647728,ETH.3,ETH.3.4,-0.898282945156097,26,0
ethiopia,2016,9.00224494122,38.7492381146,ETH.1,ETH.1.1,1.45454514026642,26,1
ethiopia,2016,13.1972652136,39.4579178725,ETH.11,ETH.11.1,-0.698895871639252,27,0
ethiopia,2016,9.3841625275,36.4356299161,ETH.4,ETH.4.2,-0.850066125392914,28,0
ethiopia,2016,6.96366982448,37.8810262918,ETH.10,ETH.10.21,-0.892220079898834,28,0
ethiopia,2016,12.1382636875,37.7079389365,ETH.3,ETH.3.4,-0.689868032932281,27,0
ethiopia,2016,5.84837293229,43.5279794245,ETH.9,ETH.9.8,-0.469275742769241,25,0
ethiopia,2016,9.9730182127,34.5032392669,ETH.4,ETH.4.1,-0.68591833114624,28,0
ethiopia,2016,9.510583,41.898978,ETH.5,ETH.5.1,-0.934520244598389,27,0
ethiopia,2016,11.2933004838,37.5208814845,ETH.3,ETH.3.6,-0.864060938358307,27,0
ethiopia,2016,7.22384739616,35.3251085621,ETH.6,ETH.6.2,-0.191999465227127,24,1
ethiopia,2016,11.6998284858,37.3130425758,ETH.3,ETH.3.6,-0.633949041366577,28,0
ethiopia,2016,9.04813438603,38.7599106149,ETH.1,ETH.1.1,1.4676102399826,24,1
ethiopia,2016,7.40358536322,43.9200338005,ETH.9,ETH.9.5,-0.159843593835831,28,1
ethiopia,2016,13.2481330714,40.0436854695,ETH.2,ETH.2.2,-0.932383418083191,27,0
ethiopia,2016,9.32405197903,42.0930183585,ETH.7,ETH.7.1,0.863312363624573,22,1
ethiopia,2016,8.05377155584,37.6945841523,ETH.10,ETH.10.12,-0.574020624160767,26,0
ethiopia,2016,9.06010035789,34.8188040773,ETH.8,ETH.8.9,-0.915461361408234,28,0
ethiopia,2016,10.8886743845,38.6067252305,ETH.3,ETH.3.5,-1.01020193099976,25,0
ethiopia,2016,7.63455750352,35.6701723257,ETH.10,ETH.10.14,-0.962382435798645,28,0
ethiopia,2016,11.7309998784,41.0951738301,ETH.2,ETH.2.1,-0.964307963848114,27,0
ethiopia,2016,9.30157652661,42.1104613791,ETH.7,ETH.7.1,1.09950268268585,25,1
ethiopia,2016,6.72010797002,37.6248795321,ETH.10,ETH.10.21,-0.953806459903717,28,0
ethiopia,2016,14.101627106,38.2829060094,ETH.11,ETH.11.5,0.673826634883881,26,1
ethiopia,2016,5.973339,38.182217,ETH.10,ETH.10.11,-0.66303676366806,27,0
ethiopia,2016,10.5409834756,35.9403169384,ETH.4,ETH.4.3,-0.421732246875763,22,0
ethiopia,2016,10.2673401899,36.2187772899,ETH.4,ETH.4.3,-0.890127658843994,24,0
ethiopia,2016,9.59705742549,41.869843929,ETH.5,ETH.5.1,0.207945495843887,24,1
ethiopia,2016,9.29218457705,42.5533647172,ETH.9,ETH.9.3,-0.789645195007324,27,0
ethiopia,2016,6.4415578488,42.095158493,ETH.9,ETH.9.1,-0.82137531042099,24,0
ethiopia,2016,13.6692723562,38.185384157,ETH.11,ETH.11.5,-0.356361269950867,28,0
ethiopia,2016,11.7485880935,39.9283744479,ETH.2,ETH.2.4,-0.912993848323822,19,0
ethiopia,2016,9.60869956079,41.8398751242,ETH.5,ETH.5.1,0.920108318328857,28,1
ethiopia,2016,11.6010123722,40.0178986208,ETH.2,ETH.2.1,-0.578108489513397,23,0
ethiopia,2016,14.2318310694,39.729538354,ETH.2,ETH.2.2,-0.598728120326996,28,0
ethiopia,2016,9.36328807537,34.4452504635,ETH.4,ETH.4.1,0.174829244613647,23,1
ethiopia,2016,9.31090240464,42.148127059,ETH.7,ETH.7.1,0.609940588474274,27,1
ethiopia,2016,9.00691707989,38.7277429586,ETH.1,ETH.1.1,1.27578926086426,27,1
ethiopia,2016,13.8785870978,39.7229998663,ETH.11,ETH.11.4,-0.747799336910248,28,0
ethiopia,2016,7.19484398286,35.2493930547,ETH.6,ETH.6.2,-0.637232840061188,27,0
ethiopia,2016,7.45981388803,43.8468612713,ETH.9,ETH.9.5,-0.969380617141724,27,0
ethiopia,2016,12.3769356831,38.3579841217,ETH.3,ETH.3.4,-1.15188312530518,27,0
ethiopia,2016,12.1331917917,39.5805877891,ETH.3,ETH.3.11,-1.05693376064301,25,0
ethiopia,2016,9.64616655232,39.617828835,ETH.3,ETH.3.8,-0.66403341293335,27,0
ethiopia,2016,9.5776155326,41.8895674562,ETH.5,ETH.5.1,1.0866391658783,25,1
ethiopia,2016,10.0564993574,34.555293404,ETH.4,ETH.4.1,0.698872148990631,25,1
ethiopia,2016,8.15920965881,38.1893877847,ETH.10,ETH.10.12,-0.534289002418518,28,0
ethiopia,2016,11.7268863923,40.9974796357,ETH.2,ETH.2.1,0.771870136260986,25,1
ethiopia,2016,10.7096870361,38.2726724466,ETH.3,ETH.3.7,-0.975898921489716,25,0
ethiopia,2016,7.22084525534,36.1338592502,ETH.10,ETH.10.14,-0.959734857082367,27,0
ethiopia,2016,4.00670294165,41.5997414214,ETH.9,ETH.9.6,-0.92115706205368,23,0
ethiopia,2016,10.1892137521,34.8416336617,ETH.4,ETH.4.1,-0.746618032455444,27,0
ethiopia,2016,9.3653823821,42.7062327688,ETH.9,ETH.9.3,-0.621334433555603,26,0
ethiopia,2016,9.00229314046,38.8231390933,ETH.1,ETH.1.1,1.45978212356567,26,1
ethiopia,2016,9.31312605158,42.2301463354,ETH.7,ETH.7.1,-0.792516350746155,26,0
ethiopia,2016,7.84147681781,39.5490696305,ETH.8,ETH.8.1,-0.785079836845398,26,0
ethiopia,2016,8.5955995317,43.4702969902,ETH.9,ETH.9.4,-0.458273530006409,25,0
ethiopia,2016,6.72183944974,38.2941908742,ETH.10,ETH.10.19,-0.627391278743744,28,0
